year,cname,cowcode,ccodewb,creation,reform,direction,increase,decrease,regional,lvau_garriga,lvaw_garriga,cuk_ceo,cuk_obj,cuk_pol,cuk_limlen,lvaw_garriga_diff
1970,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1971,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1972,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1973,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1974,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1975,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1976,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1977,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1978,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1979,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1980,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1981,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1982,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1983,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1984,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1985,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1986,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1987,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1988,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1989,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1990,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1991,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1992,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1993,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
1994,United States of America,2,840,0,0,0,0,0,0,0.391,0.475,0.438,0.400,0.100,0.626,0
